what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257027715782
java.specification.version,sysinfo,,,"1.6",1257027715782
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257027715782
java.version,sysinfo,,,"1.6.0_16",1257027715782
java.vm.info,sysinfo,,,"mixed mode",1257027715782
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1257027715782
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257027715782
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257027715782
java.vm.specification.version,sysinfo,,,"1.0",1257027715782
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257027715782
java.vm.version,sysinfo,,,"14.2-b01",1257027715782
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.navigate.linkWithEditor",1257027719611
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.navigate.linkWithEditor",1257027723335
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1257027725061
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1257027730502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027732569
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027741264
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027748602
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027750888
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1257027750894
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027755101
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027766023
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1257027769201
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1257027778666
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257027790624
